,Central California Coastal,Southern California Coastal,Northern Mojave-Mono Lake,San Francisco Bay,Southern Mojave-Salton Sea,Sacramento,North Lahontan,Upper Columbia,Puget Sound,Yakima,Lower Green,Lower Snake,Middle Snake,Black Rock Desert-Humboldt,Colorado Headwaters,San Joaquin,Tulare-Buena Vista Lakes,Lower Gila,Gunnison,Central Nevada Desert Basins,Central Lahontan,Great Salt Lake,Upper Colorado-Dirty Devil,Upper Colorado-Dolores,White-Yampa,San Juan,Great Divide-Upper Green,Lower Colorado,Salt,Middle Gila,Sonora,Little Colorado,Lower Colorado-Lake Mead,Upper Gila,Oregon-Washington Coastal,Bear,Escalante Desert-Sevier Lake,Kootenai-Pend Oreille-Spokane,Upper Snake,Oregon Closed Basins,Middle Columbia,Klamath-Northern California Coastal,Lower Columbia,Willamette
Lower Green,0.3584930360922123,0.3444302315775421,0.5101758752761312,0.2998303423987114,0.31985752143239304,0.3289589801626951,0.3744378489470736,0.0009254345921267357,-0.04074676383501963,-0.02515430636287289,1.0,0.1880375664784781,0.3386541515210734,0.44851474899563576,0.7286493644525964,0.36351214576406143,0.4263578421225632,0.2351957350234125,0.6013244356038343,0.6123548548856763,0.3836658847745077,0.7400542291720174,0.729228053057856,0.7121630322683568,0.8559531510133426,0.4439294487804016,0.7522265721258724,0.3200029120211301,0.2953618795658618,0.15220129960201226,0.09885526318443066,0.32892396876919294,0.5998071335759158,0.15204194988091166,0.09182857500063117,0.6079035757762634,0.8396150268710643,0.10704715089870263,0.43178410567054765,0.2746221278646071,0.09774317974452991,0.23304749932625876,-0.02500850103433552,0.07443388480733408
Lower Snake,0.10693199098231075,-0.033562918932845326,0.11135115061999873,0.18578863549500266,-0.05587830287273699,0.37062205054695796,0.40242981737558103,0.5186147438697492,0.3785183213321735,0.6004548564878891,0.1880375664784781,1.0,0.7755713718678121,0.40488954416043427,0.051182660464622505,0.19373241560329826,0.14967800139230286,-0.09795547294766468,-0.005234456613548143,0.18350394072045587,0.2760161741444488,0.2599373674482376,0.07596153315602631,0.034011657581913685,0.12216965130617002,-0.05351523943668892,0.26755112064075076,-0.07613082889053426,-0.08676266346875305,-0.16587995538214242,-0.2012045526633589,-0.07834876324398049,0.06774287139700151,-0.1605272429861428,0.5259471298589092,0.2904387538619843,0.17236420202188246,0.7816445125259492,0.5322957688888487,0.6698886815168238,0.7814743892983974,0.4598872771322331,0.5338606160948776,0.5464354828919362
Middle Snake,0.24636928805062325,0.06858033116258991,0.23992392275948868,0.3574577098098677,0.036935943457938616,0.5795988929709159,0.6713255085449064,0.26030238020761437,0.17264232505529506,0.3529059173842663,0.3386541515210734,0.7755713718678121,1.0,0.7380685457376438,0.20093285572753225,0.36028325199497163,0.28452385270527375,-0.02453189195393349,0.10413385412857552,0.3745718927776845,0.503391303752861,0.456893932865131,0.2097473086123696,0.1603607071825255,0.2656549792115749,0.034771562218025125,0.4015614112412726,0.006792933182865813,-0.00629044251751023,-0.11866352670887502,-0.16672248555544297,0.008335542762015567,0.19844017227884397,-0.12604518838495066,0.4648688909635961,0.46889231522108066,0.3129134607604014,0.4778653538234326,0.7472486188544224,0.8533130912510205,0.6261460821653291,0.6102844106395399,0.3009540666739646,0.4277183987898052
Black Rock Desert-Humboldt,0.41085338371888586,0.17153942524001342,0.3740341977659047,0.6353460875081394,0.14882398894836757,0.769040443063353,0.8661869810491987,0.12757379826618953,0.06018603927470888,0.18475400013031065,0.44851474899563576,0.40488954416043427,0.7380685457376438,1.0,0.3655722415212674,0.6217130512641231,0.43079939111606735,0.041072954881792696,0.24149845038073764,0.6626815804402099,0.827064874612762,0.6621719522969867,0.31738980104185804,0.28572070442688274,0.42172927047136893,0.14848003804881646,0.4851796808927695,0.12207948744522626,0.06728963414510769,-0.09295652746179574,-0.14758626520488827,0.08968836021664381,0.32803437537960123,-0.1027445637894382,0.3123655449727839,0.5742574730483915,0.41614819990051194,0.2559383384274368,0.6774639128218521,0.6083745009643244,0.32859560974378516,0.572134251337797,0.13415565025947326,0.27580158336658145
Colorado Headwaters,0.28310138512642063,0.3251519399841421,0.43822548202975936,0.2677071442405237,0.3567747846756947,0.25826257478439524,0.3186170630606753,-0.06554650060017232,-0.12002312837392973,-0.09124451475586773,0.7286493644525964,0.051182660464622505,0.20093285572753225,0.3655722415212674,1.0,0.29497842970669097,0.33782594551235623,0.31048756919075937,0.8617215613013667,0.45828122480428235,0.3454368579988203,0.4862430221755159,0.6860819668359157,0.8267759361467707,0.8457588294397317,0.5909715484865754,0.4899487848538883,0.3937323828296938,0.3906625531205907,0.22338706969409539,0.16540947201302503,0.451820765960128,0.5589795295631355,0.234344748544393,0.01335337099637249,0.3774129004235128,0.5976419319179208,-0.0036577172419495836,0.3183944316495395,0.17412196699670693,0.0263357357443652,0.13372375776242826,-0.09925571737597232,-0.004843088955324735
San Joaquin,0.7731031690776973,0.30568300382093244,0.5503019135700008,0.8674517990720334,0.24850602957524456,0.6517092346377528,0.5921067500990573,-0.0007792105386476236,-0.02875980774720875,0.02430257614199274,0.36351214576406143,0.19373241560329826,0.36028325199497163,0.6217130512641231,0.29497842970669097,1.0,0.7203233432930217,0.14549948409896643,0.22551296949885602,0.7420094334725837,0.8366039538113624,0.49413397433374806,0.3461865564337897,0.2735926303565936,0.2991637654232772,0.19443806464414692,0.3055028572167824,0.23175577574242434,0.1936599536663452,0.04000417111758489,-0.021323431375014516,0.20101389661278915,0.42898738541010606,0.059356929980061666,0.14120710902281258,0.33598107438132446,0.4529691549553684,0.10251168546450273,0.34645824369807077,0.30510839886476104,0.16370088420550022,0.38331962782950973,-0.0010075660563945196,0.14081815961497554
Tulare-Buena Vista Lakes,0.9315166021266835,0.6133054906220292,0.8592619813901459,0.514667181053726,0.4744989633743368,0.3358943184861542,0.33787744494604893,-0.04071107335159734,-0.0816785335949653,0.019546340701333955,0.4263578421225632,0.14967800139230286,0.28452385270527375,0.43079939111606735,0.33782594551235623,0.7203233432930217,1.0,0.25410268676314335,0.31166668565349953,0.771297519276399,0.49081805282266483,0.5137544162376099,0.4904144610807001,0.3784637340691549,0.3201490548797007,0.3273137721242126,0.33947360323759407,0.4149767464977839,0.30536918785898765,0.08424318892230669,0.02456595643609585,0.3083841869634176,0.6423464106511184,0.09389867740198066,0.06541495921489987,0.3517651887911132,0.5806281236631239,0.06195328695910084,0.34606418332622874,0.2199141817714507,0.12910204744778983,0.18459298229792118,-0.03568721581142815,0.08258598834335865
Lower Gila,0.2418232574632946,0.5598316555252442,0.3353418745315685,0.07261296764907109,0.7208343492181064,-0.017279497957342866,0.0028242805393170613,-0.21992534836977223,-0.2427319544669337,-0.18710215989224432,0.2351957350234125,-0.09795547294766468,-0.02453189195393349,0.041072954881792696,0.31048756919075937,0.14549948409896643,0.25410268676314335,1.0,0.43285484244785744,0.21832449310970936,0.11451201907926482,0.14783058264416904,0.4415896749132331,0.44681881160147424,0.19435177680309323,0.6683916040532617,0.0758785903900993,0.8805581441580402,0.9209041901149609,0.7987628482335081,0.7173328260725906,0.831617469658946,0.4714718062004347,0.7353961422195389,-0.18420111205044054,0.08212834508057149,0.2905207721391663,-0.1400178242786612,0.04738919605604322,-0.08435531381723145,-0.14725601245839778,-0.0885638744205943,-0.2141461510927543,-0.1774694158893061
Gunnison,0.25816542885128585,0.3609486134375804,0.43906346984164685,0.19668737157946983,0.4326464808858703,0.17389010691907658,0.2302452743449803,-0.11878265196962112,-0.1581350667682167,-0.10840519260722832,0.6013244356038343,-0.005234456613548143,0.10413385412857552,0.24149845038073764,0.8617215613013667,0.22551296949885602,0.31166668565349953,0.43285484244785744,1.0,0.3922336708557609,0.24845668484003539,0.35761192475741843,0.7352916210886704,0.914495828325999,0.6426053737218024,0.7931562403941337,0.3535883886230865,0.4912670014517479,0.5219407807856306,0.34805388304401375,0.2754008093120608,0.6128209382943302,0.6053324397860245,0.3648414614968505,-0.04307130916798404,0.275906769731479,0.5567762922792644,-0.06542487297829291,0.21856868624185513,0.10038390318591843,-0.01670731774895243,0.0718572780465434,-0.12304308411047285,-0.06349403444548118
Central Nevada Desert Basins,0.6789697274333009,0.47334408476778045,0.7689865377992032,0.6076816084804716,0.4078904112742559,0.5121488627292397,0.5059217984919657,0.013402468289765752,-0.03562759145463477,0.03055181745930691,0.6123548548856763,0.18350394072045587,0.3745718927776845,0.6626815804402099,0.45828122480428235,0.7420094334725837,0.771297519276399,0.21832449310970936,0.3922336708557609,1.0,0.7122567653519456,0.7879403720598314,0.5635353054637756,0.46455910171891385,0.49597139198943185,0.34852993174784563,0.5141206510803507,0.36267983608195686,0.28179332553629916,0.07415904566177113,-0.002391877635805182,0.2995539319186067,0.6990194851634214,0.07655512526209123,0.1255867976240912,0.5420810022345187,0.7609329883750285,0.10832857091206911,0.4587458200465678,0.30014661064033443,0.13008333783792475,0.32481177467203215,-0.013754328824330786,0.10320973950517894
