time,Upper Colorado Region,Great Basin Region,California Region,Lower Colorado Region,Pacific Northwest Region
2022-04-01,15.9999485,15.91053,34.979923,4.053404,63.70257
2022-05-01,25.181183,15.116143,10.51674,1.6319249,61.233845
2022-06-01,17.813395,8.886204,10.0503645,15.558314,63.329056
2022-07-01,32.07342,12.015533,4.5332794,44.680332,15.08618
2022-08-01,34.99457,30.981863,8.70895,78.320206,15.44001
2022-09-01,39.534184,22.693306,16.203241,34.05907,22.885118
2022-10-01,28.447765,11.671705,11.82033,30.447542,43.51058
2022-11-01,22.458244,29.525583,54.965343,13.582,92.554695
2022-12-01,33.626755,57.106667,137.6847,36.59652,118.40257
2023-01-01,47.614056,61.079533,154.22955,53.724834,76.23151
2023-02-01,26.357506,25.336605,80.89015,24.937822,56.087852
2023-03-01,46.999744,58.362564,142.02853,51.172894,71.38193
2023-04-01,25.921888,16.38284,19.227371,4.168403,61.9745
2023-05-01,19.799374,27.180904,21.883072,9.474484,44.765316
2023-06-01,27.688152,19.493969,7.9590282,4.7600484,36.50804
2023-07-01,15.876308,6.795226,2.2817004,21.086334,10.230326
2023-08-01,47.199154,39.832554,25.537138,50.239986,36.548874
2023-09-01,22.358217,28.940315,15.108017,22.346886,42.356953
2023-10-01,23.246834,15.016725,15.002328,9.051851,50.403805
2023-11-01,21.39759,18.59327,39.82964,11.101288,87.599014
2023-12-01,17.31214,16.6676,94.05576,23.560122,113.76614
2024-01-01,25.423738,45.850132,120.437965,31.947193,120.17762
2024-02-01,36.886864,48.113045,143.61115,39.54457,87.972824
2024-03-01,38.06711,45.57611,84.54625,41.15856,68.653725
2024-04-01,24.571772,29.262447,37.759193,13.984062,48.815117
2024-05-01,24.695097,16.040325,20.52995,2.8605735,50.347725
2024-06-01,34.051613,17.879784,3.5881784,18.019775,37.918495
2024-07-01,18.402056,13.724099,3.1502025,36.348103,11.044174
2024-08-01,47.02875,17.046043,8.085102,41.176487,32.866516
2024-09-01,13.61371,12.078284,5.9622674,7.889299,29.260578
2024-10-01,35.61425,17.23392,15.45281,15.8475065,58.79865
2024-11-01,29.743647,24.920673,104.34576,12.612056,113.312454
2024-12-01,14.944601,24.438162,99.73215,9.452259,123.77437
2025-01-01,15.573295,17.513903,51.133686,13.072965,67.73789
2025-02-01,22.287855,35.480526,104.70323,15.921916,91.53373
2025-03-01,37.77945,39.474503,80.27085,26.801386,91.371155
2025-04-01,24.30637,18.63235,26.764374,12.133154,41.412403
